year,election_id,house_menu_url,general_menu_url
2019,24310,https://results.aec.gov.au/24310/Website/HouseDownloadsMenu-24310-Csv.htm,https://results.aec.gov.au/24310/Website/GeneralDownloadsMenu-24310-Csv.htm
2022,27966,https://results.aec.gov.au/27966/Website/HouseDownloadsMenu-27966-Csv.htm,https://results.aec.gov.au/27966/Website/GeneralDownloadsMenu-27966-Csv.htm
