"n","replicates","failures","warning_count","unexplained_nonfinite","projection_rate","floor_rate","min_eigen_min","min_eigen_q05","min_eigen_median","min_eigen_q95","raw_fro_mean","raw_fro_mean_mcse","raw_fro_rms","raw_fro_rms_mcse","raw_fro_q05","raw_fro_median","raw_fro_q95","psd_fro_mean","psd_fro_mean_mcse","psd_fro_rms","psd_fro_rms_mcse","psd_fro_q05","psd_fro_median","psd_fro_q95","stable_fro_mean","stable_fro_mean_mcse","stable_fro_rms","stable_fro_rms_mcse","loss_ratio_mean","loss_ratio_mean_mcse","loss_ratio_max","projection_improves_frequency","theorem_violations","minimum_theorem_margin","R_max_error_mean","R_max_error_mean_mcse","R_fro_error_mean","R_fro_error_mean_mcse","R_rmse_offdiag_mean","R_rmse_offdiag_mean_mcse","partial_max_error_mean","partial_max_error_mean_mcse","partial_fro_error_mean","partial_fro_error_mean_mcse","partial_rmse_offdiag_mean","partial_rmse_offdiag_mean_mcse","partial_max_error_gt_0_5","partial_max_error_gt_0_75","partial_rmse_mean_active","partial_rmse_mean_inactive","partial_max_mean_projection_active","partial_max_mean_projection_inactive","partial_max_mean_floor_active","partial_max_mean_floor_inactive"
50,5000,0,0,0,0.9008,0.9276,-0.0148472911779088,-0.00818481277179442,-0.00322010376828279,0.000914161803385551,0.0188017248298823,6.08050475155874e-05,0.0192869756141722,6.62214788667645e-05,0.0127011324227524,0.0183177745138959,0.026516477528706,0.0170431165359411,6.28704022149516e-05,0.01761327073384,7.04181725536509e-05,0.01092244544525,0.0164700939892397,0.0254547259704286,0.016883200132424,6.33621606760267e-05,0.0174674625797724,7.10201272772638e-05,0.90462907891546,0.0012083471993046,1,0.9008,0,1.00741697102447e-10,0.621416485706584,0.00279539145396368,1.46412635031613,0.00550642447961174,0.327388604695554,0.00123127394493808,0.829074208513623,0.00251232201388545,2.12466694069202,0.00665641137754337,0.475089970893387,0.001488418832639,0.9652,0.677,0.482638924441116,0.378371610245971,0.839332720124281,0.735920304694268,0.841561501914367,0.669085073727302
100,5000,0,0,0,0.6818,0.701,-0.0115881945788073,-0.00464823886334942,-0.000937240820720347,0.00216581636859234,0.0133489692856158,4.03973253452655e-05,0.013651119680073,4.23592422233369e-05,0.00907316106665196,0.0131275687265055,0.0183809086566388,0.0125953037389642,4.02330552650005e-05,0.0129125346565968,4.29222210055823e-05,0.00844735812610997,0.0122784621939064,0.0176423805046701,0.0125646924295181,4.03034666053873e-05,0.0128837773413323,4.30084091536333e-05,0.944278702972444,0.00097797979738362,1,0.6818,0,1.00571960481854e-10,0.499857144009576,0.00207556872883861,1.16981626137478,0.00408966073204422,0.261578868161866,0.000914475940176242,0.90639533595894,0.0033245438305985,2.51469522604483,0.0111623938814472,0.562302946813044,0.00249598715105437,0.9256,0.7654,0.638736938335718,0.383104859664566,1.00602512327471,0.692920826242129,1.0075434766003,0.669255380809797
250,5000,0,0,0,0.2176,0.2234,-0.0049964120679065,-0.00138421289674689,0.00109215801057147,0.00320118180698419,0.00837265251836051,2.4473782321852e-05,0.00854959305071735,2.54500004829709e-05,0.00576009121414819,0.00826092302541413,0.0114321043111537,0.00825567234647723,2.38709668528958e-05,0.00842642696294168,2.49475354300108e-05,0.00573904554021266,0.00814152667310892,0.011223625779155,0.00825378332803883,2.38683943176713e-05,0.00842453979529349,2.49465297631705e-05,0.987314885981952,0.000498863617110889,1.00000000000001,0.2176,0,1.00362660890307e-10,0.347081695819178,0.00140326014476712,0.790847754553305,0.00267811406956386,0.176838933903426,0.000598844511104339,0.670615848004107,0.00471740676648995,1.86270490134435,0.0160134020789392,0.416513478142801,0.00358070555995445,0.5908,0.342,0.810641473378838,0.303136972688602,1.17184731846962,0.531214048447238,1.1723869876271,0.526274265990487
