"scenario_id","n","method","B_total","B_valid","truth","mean_estimate","bias","mcse_bias","empirical_sd","mcse_empirical_sd","rmse","mcse_rmse","median_absolute_error","mcse_median_absolute_error","coverage","mcse_coverage","mean_interval_length","mcse_mean_interval_length","lower_noncoverage","mcse_lower_noncoverage","upper_noncoverage","mcse_upper_noncoverage","mean_estimated_se_fisher","mcse_mean_estimated_se_fisher","empirical_sd_fisher","se_fisher_to_empirical_fisher_sd_ratio","projection_rate","negative_variance_rate"
"S1",50,"proposed",5000,5000,0.554700196225229,0.564486185977644,0.00978598975241522,0.00279857864497,0.197889393754215,0.00211461914129623,0.198111447709144,0.00208587074410152,0.131526120291907,0.00221784508207582,0.9628,0.00267642149146953,0.766089981943134,0.00377117411638629,0.0012,0.000489603921552922,0.036,0.00263453980801202,0.356216922653299,0.00478992870111856,0.367376814986273,0.969622763664628,0.0132,4e-04
"S1",50,"naive",5000,5000,0.554700196225229,0.35438626141912,-0.200313934806109,0.00181268264798354,0.128176019252835,0.00129415736477356,0.237805547812971,0.00179822521977682,0.19556247123123,0.0024458909777268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,4e-04
"S1",50,"raw",5000,4998,0.554700196225229,0.566445436555257,0.011745240330028,0.00287508011822044,0.203258200965077,0.00246990220074691,0.203576965406904,0.00246063486952312,0.131415934309797,0.00221049289269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,4e-04
"S1",50,"oracle_sample",5000,5000,0.554700196225229,0.55007036856224,-0.00462982766298872,0.00139224509535568,0.0984465947999715,0.00101535750175796,0.098545568066216,0.00103365617955529,0.0661150451244709,0.0011756928051916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,4e-04
"S1",100,"proposed",5000,5000,0.554700196225229,0.560673757585686,0.00597356136045731,0.00191243945591609,0.135229890788698,0.00136541991160178,0.135348252199199,0.0013570202708006,0.0891253319709087,0.00139656929160557,0.9624,0.00269021337443705,0.513832670500632,0.00139533190745893,0.006,0.00109215383531808,0.0316,0.00247392158323581,0.207511703792666,0.00224734678734133,0.220636643506141,0.940513327682538,2e-04,0
"S1",100,"naive",5000,5000,0.554700196225229,0.35691943418962,-0.197780762035609,0.00125962540178795,0.0890689663359086,0.000869176260267495,0.216907639190926,0.00127103560718585,0.195133482504785,0.00172104084411161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04,0
"S1",100,"raw",5000,5000,0.554700196225229,0.560682024113771,0.00598182788854224,0.00191282190073614,0.135256933721267,0.00140060341110089,0.135375631104506,0.00139320773319709,0.0891253319709087,0.00144216212887589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04,0
"S1",100,"oracle_sample",5000,5000,0.554700196225229,0.552964237810665,-0.00173595841456464,0.000971309143084564,0.068681928170359,0.000711941736353337,0.0686969967856238,0.000717998842207918,0.045838586502813,0.000668006306152512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04,0
"S1",250,"proposed",5000,5000,0.554700196225229,0.557088007175296,0.00238781095006688,0.00120245799958345,0.0850266205597468,0.000837752006294776,0.0850516427807462,0.000835899891286856,0.0576488735237933,0.000912209716212852,0.9508,0.00305873699425106,0.323359305734331,0.000460731030720071,0.02,0.00197989898732233,0.0292,0.00238106530779817,0.122465604439532,0.000224765566185617,0.126603093460216,0.967319210711197,0,0
"S1",250,"naive",5000,5000,0.554700196225229,0.357802541240111,-0.196897654985118,0.000806559270479656,0.057032352958504,0.000540766520253101,0.204989573600135,0.000785727959137951,0.195581544745108,0.00114243052020868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S1",250,"raw",5000,5000,0.554700196225229,0.557088007175296,0.00238781095006688,0.00120245799958345,0.0850266205597468,0.000821509334375051,0.0850516427807462,0.000819327360672398,0.0576488735237932,0.000940143840633125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S1",250,"oracle_sample",5000,5000,0.554700196225229,0.554006467466021,-0.000693728759208225,0.000615898514242208,0.0435506015943385,0.000442532655161485,0.0435517718105739,0.000443054710558726,0.029606215321215,0.000430153540372407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S1",500,"proposed",5000,5000,0.554700196225229,0.554593821952805,-0.000106374272423822,0.000831516045366142,0.058797063434382,0.000622007401503077,0.0587912796684923,0.000622181774208532,0.0383375539941138,0.00070592128238754,0.9512,0.00304691844328003,0.229339570661646,0.000226365930384258,0.0178,0.00186992834087299,0.031,0.00245108139399735,0.085431956092373,0.000101139938606479,0.0858590814282073,0.995025274802277,0,0
"S1",500,"naive",5000,5000,0.554700196225229,0.357012362618122,-0.197687833607107,0.000559442620729744,0.0395585670802776,0.00040083873891841,0.201606167588371,0.000543547466467245,0.196931380983371,0.000589386917408464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S1",500,"raw",5000,5000,0.554700196225229,0.554593821952805,-0.000106374272423822,0.000831516045366142,0.058797063434382,0.000602020360508783,0.0587912796684923,0.000602163924663388,0.0383375539941139,0.000708269934880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
