"label","cap","replicates","valid_replicates","failure_nonfinite_count","reference_full_data_Y_correlation","mean_naive","naive_bias","naive_empirical_sd","naive_rmse","mean_corrected","corrected_bias","corrected_empirical_sd","corrected_rmse","projection_count","projection_rate","floor_count","floor_rate","invalid_raw_variance_count"
"SEMI-SYNTHETIC CONTROLLED THINNING",5,2000,2000,0,0.897704093255955,0.296534857150135,-0.60116923610582,0.0106262093933921,0.601263095747581,0.899698455317664,0.00199436206170842,0.0379047307309653,0.0379476969988203,9,0.0045,9,0.0045,0
"SEMI-SYNTHETIC CONTROLLED THINNING",10,2000,2000,0,0.897704093255955,0.445632168488585,-0.45207192476737,0.00876074398039852,0.452156762000357,0.898281705957425,0.000577612701469971,0.0191185817587754,0.0191225271555735,0,0,0,0,0
"SEMI-SYNTHETIC CONTROLLED THINNING",20,2000,2000,0,0.897704093255955,0.595368868718983,-0.302335224536972,0.0065385516811376,0.302405884991644,0.897765382943406,6.1289687450851e-05,0.0102952107712131,0.0102928191263171,0,0,0,0,0
"SEMI-SYNTHETIC CONTROLLED THINNING",50,2000,2000,0,0.897704093255955,0.746088379226558,-0.151615714029397,0.00409350515344609,0.15167093705352,0.897710425701153,6.33244519746246e-06,0.00493427089285358,0.00493304123531339,0,0,0,0,0
"SEMI-SYNTHETIC CONTROLLED THINNING",100,2000,2000,0,0.897704093255955,0.814561636737885,-0.0831424565180707,0.00271328455383164,0.083186695498576,0.897725268063279,2.1174807323558e-05,0.00300564941045056,0.00300497251016007,0,0,0,0,0
